[2018-05-17 10:03:23] [INFO] 查询上次查询的更新id(repertory)方法: 从文件中取得last_update为: 2018-05-16 13:06:58
[2018-05-17 10:03:23] [INFO] 查询repertory信息成功, id: 2018-05-16 13:06:58开始, 查询出: 4条库存信息.
[2018-05-17 10:04:09] [INFO] 查询上次查询的更新id(repertory)方法: 从文件中取得last_update为: 2018-05-16 13:06:58
[2018-05-17 10:04:09] [INFO] 查询repertory信息成功, id: 2018-05-16 13:06:58开始, 查询出: 4条库存信息.
[2018-05-17 10:04:55] [INFO] 查询上次查询的更新id(repertory)方法: 从文件中取得last_update为: 2018-05-16 13:06:58
[2018-05-17 10:04:55] [INFO] 查询repertory信息成功, id: 2018-05-16 13:06:58开始, 查询出: 4条库存信息.
[2018-05-17 10:07:25] [INFO] 查询上次查询的更新id(repertory)方法: 从文件中取得last_update为: 2018-05-16 13:06:58
[2018-05-17 10:07:25] [INFO] 查询repertory信息成功, id: 2018-05-16 13:06:58开始, 查询出: 4条库存信息.
[2018-05-17 10:07:34] [INFO] 1, 插入一条repertory信息到数据仓库, id: 100229, name: 超白黑人牙膏多效护理190g
[2018-05-17 10:07:34] [INFO] 2, 插入一条repertory信息到数据仓库, id: 100228, name: 南洋铁盒红双喜
[2018-05-17 10:07:34] [INFO] 3, 插入一条repertory信息到数据仓库, id: 100230, name: 黑人双重薄荷强健牙釉质温和牙膏120g
[2018-05-17 10:07:34] [INFO] 4, 插入一条repertory信息到数据仓库, id: 100216, name: 娃哈哈
[2018-05-17 10:07:34] [INFO] 查询上次查询的更新id(repertory)方法: 从文件中取得last_update为: 2018-05-16 13:06:58
[2018-05-17 10:07:34] [INFO] 写last_update(repertory)到缓存文件中, 当前last_update为: 2018-05-16 13:06:58, 当前写入: 2018-05-16 19:42:09
[2018-05-18 10:39:06] [INFO] 查询上次查询的更新id(repertory)方法: 从文件中取得last_update为: 2018-05-16 19:42:09
[2018-05-18 10:39:06] [INFO] 查询repertory信息成功, id: 2018-05-16 19:42:09开始, 查询出: 27条库存信息.
[2018-05-18 10:39:23] [INFO] 1, 插入一条repertory信息到数据仓库, id: 100216, name: 娃哈哈
[2018-05-18 10:39:23] [INFO] 2, 插入一条repertory信息到数据仓库, id: 100231, name: 测试商品002
[2018-05-18 10:39:23] [INFO] 3, 插入一条repertory信息到数据仓库, id: 100232, name: 立顿绿茶50g
[2018-05-18 10:39:23] [INFO] 4, 插入一条repertory信息到数据仓库, id: 3021, name: 
[2018-05-18 10:39:23] [INFO] 5, 插入一条repertory信息到数据仓库, id: 100233, name: 测试商品002
[2018-05-18 10:39:24] [INFO] 6, 插入一条repertory信息到数据仓库, id: 100056, name: 66
[2018-05-18 10:39:24] [INFO] 7, 插入一条repertory信息到数据仓库, id: 100218, name: 90g黑人双重薄荷牙膏
[2018-05-18 10:39:24] [INFO] 8, 插入一条repertory信息到数据仓库, id: 100025, name: 健健康康
[2018-05-18 10:39:24] [INFO] 9, 插入一条repertory信息到数据仓库, id: 100153, name: *C&A黑提子加水果糖
[2018-05-18 10:39:24] [INFO] 10, 插入一条repertory信息到数据仓库, id: 100034, name: 云水
[2018-05-18 10:39:24] [INFO] 11, 插入一条repertory信息到数据仓库, id: 100235, name: 黑人双重薄荷牙膏120g
[2018-05-18 10:39:24] [INFO] 12, 插入一条repertory信息到数据仓库, id: 100236, name: 黑人彩浪健齿软毛牙刷
[2018-05-18 10:39:24] [INFO] 13, 插入一条repertory信息到数据仓库, id: 100226, name: 阿迪达斯
[2018-05-18 10:39:24] [INFO] 14, 插入一条repertory信息到数据仓库, id: 100030, name: 就行吧
[2018-05-18 10:39:24] [INFO] 15, 插入一条repertory信息到数据仓库, id: 100237, name: 黑人双重薄荷牙膏175g
[2018-05-18 10:39:24] [INFO] 16, 插入一条repertory信息到数据仓库, id: 100127, name: (袋装)统一香辣牛肉面100g
[2018-05-18 10:39:24] [INFO] 17, 插入一条repertory信息到数据仓库, id: 100238, name: 
[2018-05-18 10:39:24] [INFO] 18, 插入一条repertory信息到数据仓库, id: 2548, name: 无码商品
[2018-05-18 10:39:24] [INFO] 19, 插入一条repertory信息到数据仓库, id: 2897, name: ghg
[2018-05-18 10:39:24] [INFO] 20, 插入一条repertory信息到数据仓库, id: 100057, name: 黑人柔彩牙刷(软毛)
[2018-05-18 10:39:24] [INFO] 21, 插入一条repertory信息到数据仓库, id: 2898, name: 123456789
[2018-05-18 10:39:24] [INFO] 22, 插入一条repertory信息到数据仓库, id: 100071, name: 1.5A旅行充
