store_id,name,count
6921014085231,白瓶海珠啤酒600ml,20
6970855690302,加碘低钠盐,39
6901028004183,双喜硬经典1906,60
6939650400097,翻天薯条,17
6901028221443,贵烟（黑跨越）小盒,40
6901028063364,白沙（硬新精品二代）,17
6923672301524,裕昌西游争霸脆脆面,4
6921180967140,复印纸,1
6937221716332,贤哥鹌鹑蛋藤原香味,1
6901028188074,黄鹤楼（紫）,46
6907878050226,雪碧 500ml瓶,48
6901028002097,椰树(软),37
6953500600017,牛耳酥,8
6935284411218,卫龙亲嘴烧35g,14
6957288300169,龙岩泡鸭爪,6
6920193232610,金霸王5号电池6粒可撕装,6
6920180209168,碧泉柠檬味型茶饮料,15
6907878050332,芬达橙 500ml瓶,38
6904417011274,北京麻辣方便面,9
6907878030013,可口可乐 300ml瓶,27
6901668006103,奥利奥原味夹心饼干 525g,8
6907878200010,可口可乐 2升 PET  瓶,41
4891028705635,维他菊花茶500ml,31
6903653028657,手指饼奶油味,5
6907878330106,可口可乐330mL摩登罐,23
6956269900039,野山椒凤爪单爪,4
6933311068183,傻二哥多酱汁牛肉味多味花生68克,8
4902210265803,七星(晶选)20支/包,23
6927157682207,椰牛牌果肉椰子汁500g,39
6917878131504,雀巢糖,15
6927157682160,椰牛牌果肉椰子汁1.25kg,50
6901668005748,奥利奥夹心原味58g,25
6937221712952,20g贤哥酒鬼花生香辣味,10
6935284412772,卫龙小面筋,9
6924083400417,蓝带啤酒,15
6923236120332,脆笋山椒味,1
6901028004046,双喜（金01）,37
6934920448212,二联收款收据,1
6901028162869,黄金叶（喜满堂） 84mm 硬 烤烟型 1盒,37
6959836900135,贤哥无壳双蛋,2
6907878125016,可口可乐 1.25L瓶,40
6926032366102,"超省钱 报告夹,A4,抽杆式,30张310-1",2
6909780000191,美乐多活性乳酸菌饮料,31
6971009030029,金爪子单爪50克,4
6925771302013,100g冠华花生,19
6901028188227,黄鹤楼软雅韵,39
6931105580613,永得利806A,1
6901028010108,中南海典8,29
6921738002385,宝克荧光笔,1
6901028080330,红钻石,44
6907878900033,怡泉+C 500毫升 PET 瓶,32
6935284470031,卫来魔芋爽,3
