barcode,name
6933835125065 ,金时达闹钟2506
6933837720916 ,双鹏毛巾2091
6933850816023 ,40MM铜挂锁
69338351 ,
726165641123 ,
4800092551284 ,
4800092551369 ,
4903333059850 ,
6911161367540 ,
4895047089325 ,
4892294372057 ,卡乐比薯条
4800092551284 ,FUDGEE蛋糕棒
4800092551369 ,FUDGE BAR
4895047089325 ,月饼
4903333059850 ,东一堂乌龙茶500mL
6911161367540 ,东一堂无糖乌龙茶
726165641123 ,APOLLO 巧克力棒
6926988600220 ,
6942630603388 ,
6955691000256 ,
50219711 ,硬醇555烟*
6920189004818 ,方便面
10000008 ,
6935204277805 ,3333
10000008 ,#NAME?
6939334351042 ,5555
797063015682 ,33
9019100000002 ,b艾克里里
6934158318714 ,艾克里里
4547691770929 ,
6937221717582 ,
6901028227698 ,
6937221717582 ,台式烤肠
6920404394090 ,农夫山庄青竹梅干
6920404394113 ,农夫山庄金梅姜
6920404395745 ,农夫加州西梅
6959800009048 ,棉签
6971305070033 ,蛋糕
6927573125845 ,果味苏打420ml--柠檬
6920404385876 ,百年经典系列精品陈皮梅
6902088800807 ,经典醇港式鸳鸯热吻奶味茶固体饮料
6905824118204 ,皖酒王典雅
6291104670129 ,10元打火机
6922507821701 ,鸡蛋爽滑挂面
6947632288922 ,毛巾1
6901028165914 ,黄金叶小目标
6959606510045 ,牙刷
6921709800330 ,泰莱花生
6941873401331 ,手包红豆
6945109903248 ,蛋糕5
6927573125982 ,王屋碱性水
6943304401316 ,立味爽西瓜子
6957636600088 ,创刀
6901028053075 ,玉溪阿诗玛
901028186612 ,黄鹤楼南洋三号
6925696402249 ,三湘古镇北京烤鸭
6931008484384 ,加减乘除葡萄干
6920732123027 ,蟹肉
6917066000247 ,乖媳妇70g
6938533733109 ,高爐家150
902312303210 ,榄菊驱蚊花露水
6958447401550 ,素香肥牛
6941873401454 ,东北1
5901781991530 ,大怡宝
6909493200505 ,梦龙1
6920052605753 ,杯
6935554670048 ,甘草花生
6937221717575 ,香肠
6943586816020 ,袜子1
6970297780197 ,酸奶
901180915785 ,果乐
6933036301794 ,ES3010G理文竹加迷你型纸手帕
6932658404111 ,
6933890329644 ,
6922646112821 ,延长线插座
6935364042073 ,
6970847590092 ,萃雅气垫粉底霜
6901028317153 ,人民大会堂
6954699800400 ,
6901028092135 , 人民大会堂                                                                
6900464910188 ,植雅洗手液
6900464901230 ,
6954699800400 ,复印纸
6915798003376 ,头孢克肟胶囊
6921738075020 ,NO170白板笔墨水、小盒、中盒
6900464901230 ,海豹油
6900464910188 ,护发素
6932004400255 ,东洋之花滋润护手霜（经典款）
6933890329644 ,杯子
6932658404111 ,椰子汁
6935364042073 ,路由器
6939261421436 ,三金金银花含片
6939261421443 ,三金胖大海含片
6940230300379 ,非常贝贝果仁酥
6922507051542 ,560ml优悦 纯净水
6945722500558 ,土鸡蛋面
240549445883 ,123
9908630004768 ,
850298105008 ,
6931906341109 ,京酿精制料酒500ml
850298105008 ,三象牌粘米粉
6936246890249 ,颐阳补酒
9908630004768 ,绿豆牙
9903031003969 ,特你水菜
6970135840045 ,橄榄酱
6958684500023 ,正宗阳豆跂9
6925728600407 ,新竹米粉
9900101054005 ,土鸡蛋
624168103349 ,
6930565799016 ,饭盒
6917109514564 ,
6919166703189 ,
4897069770403 ,
6923287612015 ,
6901028125314 ,
6943007400142 ,
6928204300211 ,
6935284413830 ,亲嘴条加长版
6943466900665 ,
6943466900801 ,
6943466900849 ,
6943466900856 ,
19515926 ,
6901236341384 ,维达纸面巾
6932265018244 ,
6970430621349 ,单晶冰糖
6932265017865 ,
6970534810212 ,
6924659417948 ,添动力
6970530840329 ,有味
6970926430134 ,金蛋
6983592900429 ,贝贝大蛋
6970544270570 ,法式雪饼
6924898800556 ,鸡仔饼
6924898800570 ,黑米糕点
6924898800587 ,红枣饼
6925955811591 ,香橙果酱饼
6971084512090 ,爽口佳腊八豆
6943466900801 ,水蜜桃人品梅
6919166703226 ,300克草莓味
6937350210077 ,家乡人火鸡面
6926634130767 ,流行阵皮
19327266 ,龙江家园
6902312304392 ,榄菊1.2
6952431822963 ,豆豆龙太空杯
6926634128795 ,流行开心果80克
6956060518808 ,妙滋味亲嘴鱼泡椒味盒子
6970297020064 ,难吃的花生原味
6953359688181 ,客家甜酒花生
6970831491923 ,即食拉面烧烤味
6970625580055 ,剁椒萝卜
6943466900856 ,原味山楂
6950023200267 ,无蔗糖蔬菜饼
6950383300072 ,牙签
6901028063876 ,蓝芙容王新装
6922604280029 ,珠丰
6932265018244 ,玫瑰味小麻花
4897069770403 ,小饼干
6924187860124 ,洽洽焦糖58g
6924187860131 ,洽洽核桃爪子589
6926120806206 ,鲜满多黄花鱼
6926120806213 ,鲜多黄花鱼
6956441990032 ,香辣秋刀鱼
6970869040209 ,香辣片片鱼
6937882748468 ,伯乐偿大西梅
6970534810212 ,和惠蛋卷
6922507821565 ,来碗面鸡蛋细圆挂面
6922507821572 ,来碗面鸡蛋精细挂面
6922507821589 ,来碗面鸡蛋玉带挂面
6942935820152 ,红油香干子
6928479743249 ,酒鬼蚕豆
6930951101157 ,纯美衣架
6953359688211 ,龙岩蒜香花
947882211428 ,香聚
891338010559 ,黑人茶倍健140克
901028125314 ,黄山中国画
694406960507 ,500双蒸
6924743921320 ,乐事青柠味
924187829428 ,凉茶瓜子
6950023200458 ,黑芝麻饼
6958395800269 ,林仔老面筋
6958395800214 ,林仔丝丝爽
6958395800221 ,林仔丝丝爽
925282363039 ,英洁卫生巾30片
6932265018213 ,功夫耶来熊麻花
626450600925 ,味宝蔬味饼干
6926450601021 ,味宝奶酪饼
6935753300210 ,雨成保鲜膜
6970678713264 ,川味（金江鱼
1584263578661 ,新亮度
927148300134 ,欧迅之光
6943466900849 ,萍果味生姜
888075018609 ,555硬双冰
601028201711 ,细
19266466 ,柠檬饼干
901294171213 ,六神
6943466900665 ,妙酸奶梅
6932265017865 ,苦乔沙琪玛
924187828964 ,洽洽香瓜子
6926120806084 ,金鲳鱼
625526601460 ,百年糊
6952167400343 ,和惠手工蛋卷（芝麻）
633066000247 ,乘媳妇
600463000507 ,古岭神酒
901028942812 ,如意好日子
6970534810250 ,香葱蛋卷
620446799990 ,桂花酒
6919166703189 ,草莓饼干
6920616040198 ,牛肉丝
6921709800330 ,泰莱食品
6943466901709 ,维巧养生姜糖
6943466901730 ,维巧冬糖
6970678713233 ,泥鳅
6923287609398 ,玉米糖
6926634130781 ,柠檬圈
6931008485534 ,冰糖金桔
6931008486241 ,原味鱿鱼丝
6953320090678 ,香脆开心果
6953320090838 ,香脆扁桃核
6953320091309 ,香草榄
6970430622919 ,欢喜嘉应子：
938888888615 ,香飘飘
927200423016 ,老坛酸菜
6917109514571 ,猪骨面
6949419837125 ,情人结爆米花
937350205127 ,酸辣粉
6956349000505 ,银丝面
6970779560019 ,咸鸭蛋
647563100041 ,乡吧老鸡蛋
602890236399 ,肉花肠
6959901100026 ,芝麻片
6920907807943 ,好丽友草梅蘑力
6957614187877 ,纸篓
948195800460 ,金龙鱼油
971185740101 ,麦丽素
693306600247 ,乘媳妇
601028942928 ,好日子
902902007122 ,厨邦
6945387190019 ,丽透
6932265017483 ,沙琪玛
6970428870759 ,阿美拉
6957845201113 ,麦辣卷
6924409412070 ,苏格兰袜
6930824530466 ,珠江桶
6946378733215 ,好运登3321袜
6956505422509 ,狼针纺袜
6983168721984 ,郝亮照明
6927854122853 ,赤霞珠金标
6939348013592 ,天奇伞
638491613048 ,小帅哥片片鱼
691198800682 ,达利园派
693079501022 ,毛巾
19248826 ,舒蕾
6935716100208 ,修鞋胶
6943981900027 ,东亿火机
6921455423517 ,小猪贝奇糖
7922451422527 ,多彩糖
925303770556 ,汤达人
6928546200408 ,五香茶蛋
920174736977 ,立白
6955062805633 ,么尚生姜洗发水
933066020054 ,乖媳妇麻辣犹鱼丝
6902312304590 ,榄菊野菊花
611988007766 ,牛肉味
6928496461089 ,套扫
692273780026 ,冬菜
6927594723877 ,清洁球
6917109514137 ,排骨面
6917109514588 ,香碗面
6935716100192 ,超强502
6901028125314 ,黄山中国画
693243020122 ,粟一烧
691028046886 ,雲烟
623942505119 ,山西陈醋
903148144541 ,舒肤佳
6901028165914 ,黄金叶硬小目标
6938121602640 ,花生贵族杯
6910772003748 ,酸奶杯
6938428095947 ,八度牧场大布丁
944649700065 ,景田
6694661 ,薄霸
6902472281755 ,6片洗碗布
6926388108876 ,那么火
6937221716455 ,大片面筋
6956536580018 ,烤肠味
6956536580025 ,牛排味
6956536580032 ,烤肉味
6958395800238 ,林仔
6930509902090 ,精
6946002501234 ,骨瓷碗
6943466902065 ,玉带豆
6938428097798 ,罗马上口脆
6956536580049 ,朋友圈
6901028013765 ,真龙硬美人刘三姐
6932447966707 ,日用夜用牙刷
922731898081 ,ABc
6956536580063 ,辣么爽
6938634822016 ,磁盖杯
6944024599314 ,圆冰匙
6951169600096 ,16汤盆
6956779893302 ,吉祥空心铲
637221717155 ,贤哥
6949352228370 ,超波勇闯
907992822860 ,手奶棒
4892294372057 ,
7923644271111 ,test测试数据1111
6950253800237 ,
6959582318802 ,
90916359 ,
6921167320616 ,QZ8701庆展香槟酒开
6971190281132 ,高级卫生吸泵
6959882813755 ,套扫把
6947215600370 ,白醋
6934035408002 ,海雅
6934035406893 ,海雅
6934035407180 ,海雅
6511438561371 ,皮筋
6970490127126 ,毛巾
6948442000131 ,剪刀
6946623702096 ,妻先尝蜂蜜蛋糕
6946995500337 ,Q感菠萝面包（菠萝味）
6971283470009 ,
6971283470009 ,蛋糕小丸子
6936032000005 ,盒装12枚土鸡蛋
6941127111184 ,金江月牌排骨拉面
6971256455422 ,E-SKY V8数据线
6926830333108 ,保温杯
6936684802545 ,
4897076061167 ,
6901028339520 ,
6926292562061 ,日美挂钩  型号:RM2607
6971213090000 ,瓜子仁脆皮巧克力
6911988015723 ,320g法式小面包香奶味
6923072011900 ,
6936684802521 ,
6926144359115 ,小护士华型牙刷
6956545602312 ,待定
6932265018213 ,
4897076061181 ,台湾米饼芝士味
6925956330886 ,R-3088  青花牙签瓶（带签300支）
6901028339520 ,云烟小支
6956545602336 ,待定
6911988027214 ,70g纯切薯片田园番茄味
6923644277642 ,蒙牛奶特香蕉慕斯口味牛奶
6931630080732 ,118g黑色诱惑孜然味
8934680051774 ,越南京都巧克力求
6936684802552 ,益果多杨梅干
6909493200505 ,梦龙太妃榛子味
6932265018213 ,功夫麻花香葱味
6936684802521 ,益果多西梅干
6909995401745 ,旺旺系列产品
