barcode,name
6901028187336,
6914068020440,JM036洁柔Face百花香味迷你型纸手帕
69020292,M&M'S迷你筒装T
80974482,健达奇趣蛋男生版
6901028045902,云烟
6944649700058,360mL饮用纯净水
6907992103471,每益添350ml活性乳酸菌饮料-全糖原味
6937761805015,宝矿力水特饮料500ml
4800092660962,
6901236341582,抽取式维达纸面巾
6921734971029,得力固体胶21g
6911988005229,115克手指饼
4903333059850,
6901285991240,怡宝饮用纯净水
4890008400232,玉泉汽水500ML
4800092660962,ChocoMucho
4903333059850,东一堂乌龙茶500mL
4890008400232,Cream Soda
6901028077699,钻石过滤嘴香烟
6901028001618,双喜(硬经典1906)
6921168509256,农夫山泉 饮用天然水550ml
6928804011128,300ml可口可乐
6901028005029,双喜（硬金五叶神）
6947509910000,得宝迷你纸手帕 (天然无香)
6914068008646,JJ067洁柔蝴蝶卷纸卫生纸
6920523300552,嘉顺达 Gamely Notebook
6901028003773,双喜（百年经典）
8801116003907,爆珠树叶香烟
6901285991219,怡宝饮用纯净水555毫升
6901028075862,牡丹
6944649700126,1.5L饮用纯净水
6923450680209,大大柔软泡泡糖(什锦味)
6923450605318,箭牌无糖薄荷糖茉莉花味
6936378300128,食用槟榔（张三疯10元）
6940742900081,爽口橘 橘子罐头
6901424286213,王老吉润喉糖
50219711,硬醇555烟*
6922255451427,饮用天然矿泉水
6920180210034,屈臣氏饮用水
6901028942928,双喜(软珍品好日子)小盒
69021824,旺仔牛奶
4891028169819,维他奶芒果汁
4891028170150,维他菊花茶
6921734971012,固体胶
6921734976529,得力7652无线本笔记本(混)-50页-A5(本)
6923450656181,益达木糖醇薄荷40粒瓶装56g
6970430621660,幼砂糖
6948195801184,玉米油
6921812600285,真空办公
6942506000051,缔奇金菇梅菜80g
6923062319962,70g培陵老板菜(3包装)
6902890230182,双汇福美火腿肠
6924746201313,30g南北特五香卤蛋
6902890235132,泡面拍档香肠
6939926600121,#双汇岭南风味香肠(常温~火腿肠~不分)6484_50克
6934622000169,五香壳蛋
6902890234166,玉米热狗肠
6926896703112,吉香居调味海带丝（豆豉味）88克
4891338004527,90g黑人超白牙膏
4891338013116,黑人牙膏超白矿物盐
4891338019736,黑人茶倍健茉莉白茶90g
6902890233916,Q趣儿孜然风味香肠
6902890233923,Q趣儿玉米风味香肠
6902890235088,双汇润口香甜王玉米风味香肠48g
6948195800620,金龙鱼花生浓香型食用调和油5升
6901028942898,双喜(硬精品好日子)小盒
4891028164456,维他 柠檬味
4891028705949,维他柠檬茶 500ml(香港进口)
