barcode,name
6953668200142,骏力宝迷你Q车
900873042715,康师傅冬菇面桶面
6937994604751,黑水
6931678814139,牛奶梅肉
6901009906406,长城干红神韵750ml
6953320200114,记事本
6938295600459,小猪奇奇蛋
6934445432277,康美杯
6950475513915,脸盆
6956430163195,垃圾袋
6957465566050,佳漫奇毛巾
6970275550170,正达佐女拖鞋
6971062710678,亿家泡鸭翅
6957427660017,顾大嫂重庆小面
6922829029243,迷香玫瑰清新剂
6922829029267,清香茉利清新剂
6922829029328,空气清新剂
6970114648013,柔美达抽纸
6920448516335,企鹤伞
6950520301603,奥丽优黄桃干
6925320618589,格妮斯电吹风
httpshift;//www.gant,景田矿泉水
6950475513984,东旺桶
8993175540735,丽巧克纳宝帝香草牛奶威化饼145克
6930662070063,时尚挂钩
4897030400094,澳顿三合一麦片300克
6942506000532,佐餐四宝
6925370901761,30克凡小妹香辣藕片
6959651640995,真心苹果汁
914597101405,五羊甜桶
6926634164786,红薯脆
6938606001005,巧妙挂钓
6953700680826,百洁布
6944466482045,卡斯丽牙刷
6944829330297,珍品玻璃杯
6956293500014,健康纸杯
6936684802392,马赛克沙爹牛肉粒60克
6901028313513,威斯（小熊猫）
6927018401121,渔米之湘臭豆腐
6957465560034,毛巾
6953320092481,创奕盐津陈皮
6970813650010,扬记多味鸡g
6951967480036,刷子
920174700800,立白
6948500500306,一次性透明碗
6933720414618,毛巾
6941051311339,金稻谷
6944829311029,水杯
6953320091538,软糖
8936063740695,LIPO奶味面包干
6923018997558,滋膳堂优级绵白糖500克
6956268356936,袜子
6953320092375,创奕九制陈皮
6953320092467,创奕咸话梅
6953320092412,七彩糖
920584471017,旺仔
6932769007997,木木梳子
6924442586394,鹏豪精梳棉隐形女袜
6971062710708,亿家泡鸭掌
6951434905642,86克香脆开心果
6941408428093,实惠装沙琪玛
6948576408803,水果味切片糖
6951981908868,绿活冰糖金桔
6944466482236,卡斯丽牙刷
6943731601112,劲浪牙刷
4897072050042,字母造型饼干
6931678817024,185克西琪瑞士糖
921211101154,曼妥思
6937221717575,24克贤哥烤香肠
6924187860698,怪味花生
httpshift;//weixin.q,辣条
6936684801470,西西果干
