barcode,name
6928804010275,600ml雪碧柠檬味汽水
6914973600997,M&M’s牛奶巧克力豆30.6g
6914973604469,脆米心奶香白巧克力
6914973603394,士力架花生夹心巧克力
6901285991219,怡宝饮用纯净水555毫升
6901028191029,白沙（硬）
6901028001618,双喜(硬经典1906)
6901028134903,金圣（硬红）
6921168593583,农夫山泉茶π柠檬红茶500ml
6934502300709,东鹏特饮维生素功能饮料
6911316375406,阿尔卑斯意韵甜心牛奶夹心硬糖条形
6911316730014,阿尔卑斯树莓牛奶味24支条形装
6923644268480, 蒙牛真果粒椰果粒牛奶250ml
4897049890091,猫屎咖啡饮料
6901347880017,正宗椰树牌椰汁植物蛋白饮料
6901028000826,双喜（软经典）
6907992100043,优酸乳乳饮料——AD钙
6907992502588,伊利蓝梅 250ml
6956367338666,王老吉凉茶植物饮料500毫升
6901285991240,怡宝饮用纯净水350
6934665087653,优益C活菌型乳酸菌饮品原味
6901028118170,利群（新版）
6953668200142,骏力宝迷你Q车
6926656823302,400克加碘海水自然晶盐
6901010108165,健力宝第五季番石榴水果饮料450ml
6901028188074,黄鹤楼（紫）
6928804011326,500ml芬达橙味汽水
6928804011760,600ml可口可乐
6901028180573,黄鹤楼软蓝
6920202866737,红牛维生素功能饮料（牛磺酸强化型）
6921294389463,冰糖雪梨 梨汁饮品
6901347884343,椰树椰汁
6902083881085,娃哈哈大AD钙奶 220ml*4
6937761805015,宝矿力水特饮料500ml
6937994604751,黑水
6935284411218,卫龙亲嘴烧35g
6951592317189,亲嘴豆皮
6926634158501,酒鬼锅巴
4891599338393,加多宝凉茶310ml
4891028164395,进口维他奶原味250ml
4891028705949,维他柠檬茶 500ml(香港进口)
6921294398434,康师傅茉莉清茶（ 调味茶饮品）
6901028315425,红塔山（经典100）
6970972896786,明火打火机
6901028005029,双喜（硬金五叶神）
6901028004947,双喜（软蓝红玫王）
6904406383122,远航精装九江双蒸酒
6907992513560,安慕希希腊风味酸奶200g
6956416203426,美汁源果粒奶优草莓味水果牛奶饮料450ml
6922255451427,饮用天然矿泉水
6970399920019,柠檬味绿茶饮料
6901028000642,双喜（硬经典）
6901028314978,红塔山（硬经典1956）20支
6906664822252,甜牛奶饮品
6921294305012,康师傅 冰红茶（柠檬口味茶饮品）
6901028180559,黄鹤楼(硬金砂)
6901028191296,芙蓉王（硬闪带细支）
6901028111263,南京(炫赫门)
6921168509256,农夫山泉 饮用天然水550ml
6901028006521,双喜（硬祥云好日子）小盒
6921294393798,康师傅茉莉蜜茶（调味茶饮品）
6907992100272,纯牛奶
69024894,士力架35g
6931273213535,口味王槟榔（金玉满堂）
6928804010060,500ml怡泉＋C柠檬味汽水
6900873000777,康师傅珍品红烧牛肉106g
6920180218160,屈臣氏沙示汽水
6921555500071,阿郎炒面香辣肉醬
6926695418224,红豆面包90g
6958214656787,15元叼嘴巴食用槟榔
6902890229995,双汇润口香甜王玉米风味香肠
6925303770563,统一汤达人日式豚骨拉面78g
6925303791155,统一汤达人海鲜拉面72g
6944649700065,饮用纯净水560ml*24
6901028193498,芙蓉王(硬)
6935284412178,卫龙大面筋65g
6953367200078,双十一生榨椰子
6909131280647,520ml35度中国劲酒
6902613100020,泰奇优惠装八宝粥
6925303755461,溜溜哒茶
6956367338680,王老吉凉茶植物饮料310毫升
6901668200235,香蔥餅干
6920548862011,旺仔QQ香橙味23g
6901010117440,健力宝橙蜜味运动饮料（含气型）560ml
6921294357639,蜂蜜柚子 柚子味饮品
6947729700252,（百香公举）百香果果汁饮料
69021824,旺仔牛奶125ml*4
6907992513188,畅意100%乳酸菌饮品
6926475203132,优乐美奶茶（咖啡味）
6902538004045,脉动维生素饮料（青柠口味）600ml
6941543400800,卡乐B乳酸菌饮品338ml
6901028001182,硬世纪经典双喜烟包
6917878030623,雀巢咖啡268毫升
6920202888883,红牛维生素功能饮料
6925303754112,海之言柠檬口味500ml
6931273213559,食用槟榔（鸿运当头）
6921168593552,茶兀 西柚茉莉花茶500ml
6901028074865,红双喜硬荷派
6901028004183,双喜硬经典1906
6970972896366,防风打火机
6901028317122,玉溪（软）
6901028316989,玉溪（硬）
6921294357653,竹蔗马蹄 复合果蔬汁饮品
6901028075770,中华软（盒）
6901028004978,双喜(硬蓝红玫王)
6901028180801,黄鹤楼(天下名楼)
6901028004046,双喜（金01）
6907992512570,安慕希希腊风味酸奶205克
6926832426013,英式麦丽素
6926892524063,花生牛奶复合蛋白饮料500ml
6928758789609,益力多
6921294396362,康师傅 冰红茶（柠檬口味茶饮品）
6931678814139,牛奶梅肉
8888075019095,建牌（薄荷细支1）
6923644268503,蒙牛真果粒牛奶饮品(草莓果粒)250ml
6902083904685,娃哈哈营养快线水果酸奶饮品 红枣枸杞味500ml
6901028227308,龙凤呈祥香烟
6902902011983,500ml厨邦葱姜汁料酒
6914597101412,五羊巧克力味甜筒 73g
4891028170150,维他菊花茶250ml
4891028707851,维他奶（低糖）
6901028005289,双喜（红邮喜）
6901028006859,双喜（软盛世好日子）小盒
6901028075763,中华（硬）
6924160712747,无穷爱辣鸡米10g
6924743918627,乐事大波浪薯片铁板鱿鱼味40g
6928804011142,可口可乐330ml
6901009906406,长城干红神韵750ml
6901009908653,长城出口型解百纳干红葡萄酒750ml
6923450662014,绿箭弹立方留兰香薄荷味
6901028221368,贵烟（新贵）
6908946287322,美年达橙味汽水果味型汽水
6901028311151,云烟软紫
6907992513362,伊利畅意乳酸菌饮品原味100ml*5
6917935002280,合味道香辣牛肉 83g
6920584471017,旺仔牛奶245ml
6920907800210,休闲食品批发好丽友注心蛋黄派138g
6914068020440,JM036洁柔Face百花香味迷你型纸手帕
6908594417027,花王 乐而雅夜用
6901028196468,万宝路(硬冰爵)
6901668006103,奥利奥原味夹心饼干 525g
6907992822723,伊利巧乐兹经典巧脆棒 75g
8858702417624,小老板紫菜（辣香味）
6901028095884,黄果树
6921804700757,陶华碧老干妈风味豆豉280g
6953320200114,记事本
6901028165235,黄金叶（爱尚）
6933182900278,畅优舒
6901424333948,王老吉250ml
6923644278588,巴氏杀菌热处理风味酸牛奶
6920907808032,好丽友鲜香海苔味好多鱼 33g
6923450690642,绿箭脆皮软心原味薄荷糖
4902210309200,七星（风蓝）
6934660520247,苏菲日用
6927157682207,椰牛牌果肉椰子汁
6933066001251,山椒凤爪（抓钱爪38g
6901826837334,南孚聚能环5号碱性电池 
6901028062312,南京(十二钗烤烟)
6901035612340,纯生500ml
6924083400738,蓝带啤酒500ml
6909131169201,中国劲酒 125ml
4897049890268,慕赏猫屎咖啡280ml
6924160714017,无穷农场盐焗鸡蛋30g
6917935002181,合味道香辣海鲜风味面 81g
6917935002259,合味道香浓叉烧面 86g
6923644268510,蒙牛真果粒牛奶饮品(核果粒）250ml
6920727531523,广氏(生力)菠萝啤105_355毫升
6911988013538,达利园草莓味瑞士卷 160g
4719579946157,阿里山（景泰典蓝硬）
6906664823327,红枣枸杞牛奶饮品
6917935006011,日清炒面大葱油肉丝/碗装
6958214616880,和畅叼嘴巴槟榔 30g
6901028942928,双喜(软珍品好日子)小盒
6925526601460,百年糊涂酒超值装125ml
6901010101180,健力宝橙蜜味运动饮料（含气型）330ml
6928804010145,雪碧柠檬味汽水330ml
6901028000932,双喜(硬世纪经典)
6908946287315,百事可乐可乐型汽水 600ml
6917935002921,合味道咖喱牛肉风味
6907878033014,可口可乐 330ml
6937221716332,贤哥鹌鹑蛋藤原香味
6923942505539,龙眼井陈年陈醋500ml
6901028224062,金圣滕王阁紫光
6901028046886,云烟紫
6921294391985,康师傅茉莉花茶1L
6900873000975,康师傅经典香辣牛肉桶面109g
6923450659441,益达木糖醇蜜桃瓶装
6911988011596,达利园法式小面包香奶味160g
6901028075022,软盒中华
6901028942898,双喜(硬精品好日子)小盒
6901028071765,中南海金8mg
6921211101154,曼妥思果汁糖37g
6954432710256,炫迈水密西瓜味50.4g
6924160713331,无穷爱辣鸡翅12g
6938295600459,小猪奇奇蛋
8801116006441,esse爱喜薄荷烟
6921168550111,维他命水热带水果风味500ml
6921168550142,维他命水柑橘味500ml
6901285991271,怡宝饮用纯净水1.5L
6911988014276,达利园和其王凉茶 600ml
6902534023811,甘竹豆鼓鲮鱼227g
6901028055314,软红河
6902088713206,金纺清新柔顺衣物护理剂
6903148225790,飘柔家庭护理兰花长效洁顺水润洗发露190ml
6921340913208,艾诗芬香沐浴露（浪漫花香）
6924757020026,小妮夜棉J5810片
6934445432277,康美杯
6936357800014,益伢留兰薄荷香型云南三七天然炫白牙膏
6939169200652,216万兴塑料纸篓
6943731608449,劲浪844牙刷
6948971496696,昌达牌纯棉竹纤维毛巾（小）
6950475513915,脸盆
6956426822327,大二线衣架
6956430163195,垃圾袋
6957465566050,佳漫奇毛巾
6970275550170,正达佐女拖鞋
6921168504022,尖叫纤维型550ml
6918087101029,奇脆冰雪糕(香草味+芒果味)
6901035609715,青岛啤酒罐330ml
6948960101563,哈尔滨冰爽啤酒330ml
721031960124,珠江啤酒（罐）
6921168559176,农夫山泉饮用天然水4L
6924994120350,好家风超柔卷纸3*2
6958031500034,香其酱熟酱型100g
6907992500010,优酸乳乳饮料——原味
6903148054215,佳洁士3D炫白双效牙膏120克
6938514100449,JOYOUTH江小白单纯高粱酒100ml
6908594414019,乐而雅 10片日用卫生巾
6908594419021,乐而雅零触感 量多夜用
6923644240318,蒙牛低脂高钙奶250ml
6902890234135,双汇香辣香脆肠35g*60
6938751200001,台湾麻署
6925303710446,统一100 原味泡椒牛肉 (袋面）108g
6900873714070,康师傅酸菜牛肉面133g
6926475203149,优乐美奶茶原味80g
4891028165279,维他奶 巧克力味
6907992100272,伊利纯牛奶
6921665707957,思念简装黑芝麻汤圆500g
6932759725313,金沙河原味鸡蛋挂面
69029783,德芙巧克力14g
6938888888851,香飘飘咖啡奶茶80g
6924160712389,无穷原味盐焗鸡翅65g
6925303730574,统一阿萨姆原味奶茶
6930954226659,顺宝360g家用白糖
6971062710678,亿家泡鸭翅
6907992400754,伊利牛奶片 16g
6901754141008,乌江涪陵榨菜-鲜脆菜丝88g
6932829233168,儿童榨菜丝
6956416200067,美汁源果粒橙橙汁饮料450ml
6900873000630,康师傅经典红烧牛肉5连袋面500g
6900873716210,康师傅 经典袋香菇炖鸡面 95g
6921294398342,康师傅劲凉冰红茶550ml
6911988014849,达利园软面包香奶味 160g
6921294305166,康师傅 绿茶 调味茶饮品（蜂蜜茉莉味）500ml
6901028163613,黄金叶(黄金眼)
6923450656150,益達口香糖草莓味道40粒56g
6902902009010,厨邦金品生抽酱油410ml
4891028164456,维他柠檬茶 250ml
6900297888999,陈皮
6900873713936,康师傅葱烧排骨桶面90g
6958214686180,叼嘴巴食用槟榔 18g
6901028079075,钻石(西柏坡）
6900873022953,康师傅卤香牛肉味桶面105g
6902890237136,双汇泡面拍档葱风香味香肠45g
6957427660017,顾大嫂重庆小面
6959104300087,无纺布口罩
721031940102,9度特制纯生啤酒500ml
6903148000274,佳洁士 晶莹薄荷40g
6903148028155,佳洁士草本水晶牙膏140g
6921014085279,新海珠
6901236341582,抽取式维达纸面巾130抽*6
6901236379783,维达海绵宝宝二层迷你巾V0123
6901236380307,维达V2002威牌生活纸巾130抽*5
6903148054581,佳洁士夜间多效护理牙膏120g
6914068012254,洁柔面子抽纸
6922829029243,迷香玫瑰清新剂
6922829029267,清香茉利清新剂
6922829029328,空气清新剂
6924994120930,好家风软抽(300张)
6936176036205,安安空气清香剂(玫瑰香型)
6970114648013,柔美达抽纸
6902265470236,海天黄豆酱230g
6907992100012,优酸乳乳饮料――草莓味
6920448516335,企鹤伞
6902265310259,海天金标耗油265ml
6951097101139,KTZB50
6901347880390,椰树天然椰子汁1L
6914973600041,德芙香浓黑巧克力 43g
6924187820067,洽洽香瓜子160g
6924743915763,乐事无限忠于原味104g
6924743918238,乐事无限青柠味104g
6930272500066,友梦手撕千层堡
6940742900241,南北特嫩仔鱼42g
6950520301603,奥丽优黄桃干
6921168500956,水溶C100柠檬汁445ml
6901028057196,好日子（欢乐颂）
6901028942935,双喜(软锦绣好日子)小盒
6901668004833,奥利奥里拉米苏味95g
6924187828759,洽洽原香瓜子150g
6924406002410,90克仁王兰花豆
6926634158518,零食街蒜香锅巴
6924743919266,乐事青柠味70g
6925303792978,汤达人韩式辣牛肉汤面82g
