datefmt,amounts
2017-11-27,350.0
2017-12-02,371.5
2017-12-04,125.5
2017-12-05,65.0
2017-12-06,273.0
2017-12-07,395.5
2017-12-08,444.0
2017-12-09,700.0
2017-12-10,909.0
2017-12-11,782.0
2017-12-12,749.0
2017-12-13,559.5
2017-12-14,1339.5
2017-12-15,690.0
2017-12-16,1668.5
2017-12-17,857.8
2017-12-18,817.0
2017-12-19,654.5
2017-12-20,752.0
2017-12-21,720.0
2017-12-22,783.5
2017-12-23,1069.5
2017-12-24,995.1
2017-12-25,789.5
2017-12-26,1162.0
2017-12-27,1068.5
2017-12-28,811.5
2017-12-29,849.0
2017-12-30,1207.7
2017-12-31,1534.5
2018-01-01,1737.4
2018-01-02,1038.7
2018-01-03,1233.6
2018-01-04,1265.7
2018-01-05,1379.0
2018-01-06,926.3
2018-01-07,1085.6
2018-01-08,968.5
2018-01-09,1012.8
2018-01-10,1029.1
2018-01-11,996.3
2018-01-12,914.8
2018-01-13,881.9
2018-01-14,1575.9
2018-01-15,1130.4
2018-01-16,974.3
2018-01-17,1210.9
2018-01-18,1246.5
2018-01-19,1151.9
2018-01-20,1122.0
2018-01-21,1429.5
2018-01-22,1360.1
2018-01-23,1214.7
2018-01-24,1094.1
2018-01-25,1181.5
2018-01-26,1010.0
2018-01-27,1091.0
2018-01-28,1155.0
2018-01-29,1012.5
2018-01-30,1095.0
2018-01-31,1351.0
2018-02-01,1533.0
2018-02-02,1057.5
2018-02-03,1133.13
2018-02-04,1165.9
2018-02-05,850.1
2018-02-06,1523.0
2018-02-07,919.5
2018-02-08,946.5
2018-02-09,1065.0
2018-02-10,867.0
2018-02-11,1060.5
2018-02-12,1386.5
2018-02-13,874.5
2018-02-14,967.5
2018-02-15,1839.5
2018-02-16,1153.5
2018-02-17,1214.0
2018-02-18,1222.5
2018-02-19,1215.0
2018-02-20,842.0
2018-02-21,908.0
2018-02-22,920.5
2018-02-23,1304.0
2018-02-24,1647.5
2018-02-25,1781.5
2018-02-26,1491.0
2018-02-27,1785.0
2018-02-28,1191.0
2018-03-01,1230.0
2018-03-02,1735.5
2018-03-03,904.5
2018-03-04,1852.5
2018-03-05,1074.5
2018-03-06,1347.5
2018-03-07,1434.5
2018-03-08,1281.9
2018-03-09,1234.0
2018-03-10,1283.0
2018-03-11,1498.0
2018-03-12,1456.5
2018-03-13,1341.5
2018-03-14,1779.0
2018-03-15,1939.5
2018-03-16,1591.5
2018-03-17,1958.0
2018-03-18,1904.0
2018-03-19,1457.0
2018-03-20,1447.5
2018-03-21,1469.5
2018-03-22,1395.5
2018-03-23,2103.5
2018-03-24,1840.4
2018-03-25,2436.5
2018-03-26,1832.0
2018-03-27,1674.3
2018-03-28,1876.5
2018-03-29,1966.0
2018-03-30,1690.5
2018-03-31,2439.5
2018-04-01,3128.0
2018-04-02,2169.8
2018-04-03,2047.5
2018-04-04,2071.0
2018-04-05,2538.0
2018-04-06,1979.3
2018-04-07,1496.0
2018-04-08,1513.0
2018-04-09,1531.0
2018-04-10,1935.4
2018-04-11,1887.5
2018-04-12,1684.0
2018-04-13,1694.5
2018-04-14,2165.0
2018-04-15,2293.5
2018-04-16,1521.9
2018-04-17,1204.0
2018-04-18,1928.5
2018-04-19,1507.5
2018-04-20,474.0
