store_id,name,count,,,,一千条销售 不含自编码,,
6901285991219 ,怡宝饮用纯净水555毫升,90,,,,6933835125065 ,,6933835125065 
6901028193498 ,芙蓉王(硬),93,,,,69338351 ,,6933837720916 
6901028000826 ,双喜（软经典）,93,,,,6901028187336 ,,6933850816023 
6920202888883 ,红牛维生素功能饮料,83,,,,6914068020440 ,,69338351 
6934502300709 ,东鹏特饮维生素功能饮料,86,,,,80974482 ,,726165641123 
6901028001618 ,双喜(硬经典1906),95,,,,69020292 ,,4800092551284 
6901028118170 ,利群（新版小包）,95,,,,726165641123 ,,4800092551369 
6901028000642 ,双喜（硬经典）,91,,,,6901028045902 ,,4903333059850 
6901028005029 ,双喜（硬金五叶神）,92,,,,6944649700058 ,,6911161367540 
6922255451427 ,饮用天然矿泉水,70,,,,6907992103471 ,,4895047089325 
6901285991271 ,怡宝饮用纯净水1.555升,81,,,,6937761805015 ,,4892294372057 
6901028942898 ,双喜(硬精品好日子)小盒,69,,,,726165641123 ,,4800092551284 
6901285991240 ,怡宝饮用纯净水350,54,,,,6901236341582 ,,4800092551369 
6921168509256 ,农夫山泉 饮用天然水550ml,65,,,,6901236341582 ,,4895047089325 
6925303730574 ,统一阿萨姆原味奶茶,77,,,,6901236341582 ,,4903333059850 
6934665087653 ,优益C活菌型乳酸菌饮品原味,55,,,,6901236341582 ,,6911161367540 
4891028164456 ,维他柠檬茶 250ml,66,,,,6901236341582 ,,726165641123 
6944649700065 ,560mL饮用纯净水,56,,,,6944649700058 ,,6926988600220 
6948960100078 ,百威啤酒500ml,64,,,,80974482 ,,6942630603388 
6901028001489 ,软双喜,87,,,,80974482 ,,6955691000256 
6948960100009 ,百威啤酒(600mi),58,,,,6944649700058 ,,50219711 
6901028180573 ,黄鹤楼(软蓝),78,,,,80974482 ,,6920189004818 
6917878030623 ,雀巢咖啡268毫升,66,,,,6944649700058 ,,10000008 
6901028075763 ,中华（硬）,76,,,,69020292 ,,6935204277805 
6921294305012 ,康师傅 冰红茶（柠檬口味茶饮品）,68,,,,6911988005229 ,,10000008 
6901028004947 ,双喜（软蓝红玫王）,78,,,,726165641123 ,,6939334351042 
6970644591117 ,9.8度珠江0度精品啤酒,42,,,,69020292 ,,797063015682 
6901028314978 ,红塔山（硬经典1956）20支,79,,,,726165641123 ,,9019100000002 
6956367338680 ,王老吉凉茶植物饮料310毫升,64,,,,6944649700058 ,,6934158318714 
6922858211091 ,PET600ml百事可乐可乐型汽水,17,,,,6944649700058 ,,4547691770929 
6907992100272 ,纯牛奶,65,,,,4800092551284 ,,6937221717582 
4891028705949 ,维他柠檬茶 500ml(香港进口),52,,,,4903333059850 ,,6901028227698 
4891028164395 ,进口维他奶原味250ml,61,,,,6911161367540 ,,6937221717582 
6907992500010 ,优酸乳乳饮料——原味,59,,,,6901285991240 ,,6920404394090 
6937761805015 ,宝矿力水特饮料500ml,67,,,,4800092551369 ,,6920404394113 
6921294396362 ,康师傅 冰红茶（柠檬口味茶饮品）,69,,,,726165641123 ,,6920404395745 
6901035607216 ,老青岛,53,,,,4800092551369 ,,6959800009048 
6901028942928 ,双喜(软珍品好日子)小盒,58,,,,6901285991240 ,,6971305070033 
6901028317122 ,玉溪,77,,,,6901285991240 ,,6927573125845 
6901028111263 ,南京(炫赫门),73,,,,6901285991240 ,,6920404385876 
