barcode,price,count
6901028187336 ,"[20.00, 18.00, 19.00]","[14, 9, 4]"
6914068020440 ,[1.00],[7]
69020292 ,[10.00],[1]
80974482 ,"[8.00, 9.00, 8.50]","[18, 9, 8]"
6901028045902 ,"[23.00, 22.00, 23]","[45, 6, 3]"
6944649700058 ,"[1.50, 2.00, 2]","[33, 4, 1]"
6907992103471 ,"[6.00, 6.50, 6.5]","[19, 9, 1]"
6937761805015 ,"[5.00, 4.50, 5]","[67, 22, 8]"
4800092660962 ,[3.50],[1]
6901236341582 ,"[3.50, 5.00, 4.00]","[9, 3, 2]"
6921734971029 ,"[2.00, 3.00, 3.30]","[7, 2, 1]"
6911988005229 ,"[3.00, 2.50, 3.50]","[10, 6, 3]"
4903333059850 ,[5.00],[1]
6901285991240 ,"[1.50, 2.5, 2]","[86, 1, 1]"
4890008400232 ,"[7.00, 7.50]","[3, 3]"
4800092660962 ,[3.50],[1]
4903333059850 ,[5.00],[1]
4890008400232 ,"[7.00, 7.50]","[3, 3]"
6901028077699 ,"[14.00, 15.00, 15]","[43, 14, 4]"
6901028001618 ,"[17.00, 16.00, 17]","[101, 11, 4]"
6921168509256 ,"[2.00, 2, 1.00]","[87, 1, 1]"
6928804011128 ,"[2.00, 2.50]","[19, 4]"
6901028005029 ,"[12.00, 11.00, 12]","[102, 6, 2]"
6947509910000 ,"[1.50, 1.00]","[3, 2]"
6914068008646 ,"[2.50, 2.00, 2.5]","[12, 5, 1]"
6920523300552 ,[3.00],[6]
6901028003773 ,"[20.00, 22.00, 20]","[27, 4, 1]"
8801116003907 ,"[18.00, 17.00, 16.00]","[23, 7, 6]"
6901285991219 ,"[2.00, 2, 3]","[114, 7, 1]"
6901028075862 ,"[15.00, 14.00, 13.00]","[37, 21, 7]"
6944649700126 ,"[3.00, 3.50, 4.00]","[75, 6, 4]"
6923450680209 ,"[0.25, 1.00, 0.00]","[9, 4, 3]"
6923450605318 ,"[9.00, 10.00, 9.50]","[21, 18, 6]"
6936378300128 ,"[10.00, 10, 15.00]","[58, 3, 2]"
6940742900081 ,"[5.00, 4.50, 6.00]","[4, 3, 1]"
6901424286213 ,"[5.00, 6.00, 4.50]","[50, 11, 7]"
50219711 ,[10.00],[2]
6922255451427 ,"[3.00, 2.50, 2.00]","[88, 11, 5]"
6920180210034 ,"[2.50, 3.00, 4]","[34, 2, 1]"
6901028942928 ,"[16.00, 15.00, 16]","[76, 18, 4]"
69021824 ,"[8.50, 2.50, 9.00]","[17, 13, 12]"
4891028169819 ,"[3.50, 3.00, 2.50]","[17, 5, 1]"
4891028170150 ,"[3.00, 3.50, 4.00]","[36, 6, 5]"
6921734971012 ,"[2.00, 1.00, 0.00]","[3, 3, 1]"
6921734976529 ,"[12.00, 5, 7.99]","[2, 1, 1]"
6923450656181 ,"[10.00, 11.00, 12.00]","[56, 16, 7]"
6970430621660 ,[5.00],[1]
6948195801184 ,"[75.00, 78.00, 69.00]","[6, 3, 2]"
6921812600285 ,"[8.00, 3.99]","[1, 1]"
6942506000051 ,"[2.50, 2.00]","[1, 1]"
6923062319962 ,"[6.99, 1.00]","[1, 1]"
6902890230182 ,"[1.00, 1.50, 31.70]","[15, 7, 1]"
6924746201313 ,"[1.50, 1.00, 2.00]","[13, 2, 2]"
6902890235132 ,"[1.50, 1.00, 2.00]","[34, 15, 6]"
6939926600121 ,"[2.50, 3.00, 2.00]","[34, 5, 4]"
6934622000169 ,[3.99],[1]
6902890234166 ,"[1.50, 1.00, 2.00]","[42, 14, 2]"
6926896703112 ,"[3.99, 2.50]","[1, 1]"
4891338004527 ,"[8.50, 10.00, 9.50]","[9, 8, 5]"
4891338013116 ,"[15.00, 14.80, 15.50]","[6, 4, 2]"
4891338019736 ,"[10.00, 8.50, 9.50]","[5, 4, 3]"
6902890233916 ,"[2.50, 2.00]","[6, 2]"
6902890233923 ,[2.50],[16]
6902890235088 ,"[1.50, 1.00, 2.00]","[30, 13, 4]"
6948195800620 ,"[69.00, 60.00, 62.00]","[5, 3, 3]"
6901028942898 ,"[11.00, 10.00, 11]","[95, 5, 4]"
4891028164456 ,"[3.00, 2.50, 3]","[74, 13, 5]"
4891028705949 ,"[6.00, 5.00, 5.50]","[59, 20, 4]"
69021343 ,"[3.00, 2.50, 3]","[35, 20, 4]"
6909548018888 ,"[1.50, 1.00]","[4, 2]"
6901028057073 ,"[21, 21.00, 18.00]","[1, 1, 1]"
6923450657638 ,"[10.00, 11.00, 12.00]","[41, 12, 8]"
6925303721367 ,"[3.00, 3.5, 3.50]","[57, 2, 1]"
6901028169677 ,"[11.00, 10.00, 11]","[10, 9, 1]"
6923644268688 ,"[1.00, 1, 1.50]","[22, 1, 1]"
6922858211091 ,"[3.00, 4.00, 3.5]","[26, 2, 1]"
69020605 ,"[3.00, 2.50, 3]","[22, 13, 1]"
6922982328030 ,[23.00],[1]
69023019 ,"[3.00, 2.50, 3.50]","[10, 9, 1]"
6921812600360 ,[8.00],[1]
6921929400013 ,[4.50],[1]
6922406898989 ,"[12.00, 13.00, 12.50]","[5, 4, 2]"
69029097 ,"[5.00, 5.50, 6.00]","[18, 15, 13]"
6900068802773 ,"[45.00, 35.00, 39.00]","[5, 3, 3]"
69019388 ,"[1.50, 2.00, 2]","[54, 44, 3]"
10000008 ,[6.99],[1]
6907435669090 ,"[12.00, 13.50, 10.50]","[5, 2, 1]"
6922982328030 ,[23.00],[1]
10000008 ,[6.99],[1]
6959836900104 ,"[2.50, 1.80, 9.33]","[2, 1, 1]"
6907992103648 ,"[2.50, 2.00]","[3, 3]"
6942032700081 ,[17.00],[1]
6902534023811 ,"[12.00, 13.00, 12.50]","[26, 17, 10]"
6902534023828 ,"[13.00, 12.00, 14.00]","[10, 6, 4]"
