shop_id,cus_mac,sen_mac,frame_big,frame_little,channel,intensity,time
201,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,3,-65,2018-05-26 10:00:36
201,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,1,-81,2018-05-26 10:01:16
201,00:00:00:00:74:F1,88:66:39:62:C2:01,01,09,1,-47,2018-05-26 10:02:14
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:02:24
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:02:54
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-64,2018-05-26 10:03:24
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,6,-45,2018-05-26 10:04:16
201,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,6,-71,2018-05-26 10:04:26
201,00:00:00:00:74:F1,88:66:39:62:C6:C1,01,09,6,-80,2018-05-26 10:05:22
201,00:00:00:00:74:F1,68:14:01:06:70:6C,00,0d,12,-64,2018-05-26 10:05:37
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:05:57
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,11,-37,2018-05-26 10:07:15
201,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,11,-91,2018-05-26 10:07:25
201,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,9,-48,2018-05-26 10:07:40
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:07:55
201,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,10,-74,2018-05-26 10:09:27
201,00:00:00:00:74:F1,88:66:39:62:C5:A1,00,04,6,-71,2018-05-26 10:09:37
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:09:52
201,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,2,-62,2018-05-26 10:12:27
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:13:19
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:13:29
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:13:57
201,00:00:00:00:74:F1,88:66:39:62:DA:A1,00,04,11,-94,2018-05-26 10:14:27
201,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,6,-73,2018-05-26 10:15:27
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:16:35
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:17:06
201,00:00:00:00:74:F1,88:66:39:62:C6:C1,01,09,6,-80,2018-05-26 10:17:16
201,00:00:00:00:74:F1,88:66:39:62:C5:A1,00,04,2,-74,2018-05-26 10:17:36
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,5,-62,2018-05-26 10:18:26
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,11,-36,2018-05-26 10:20:15
201,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,9,-48,2018-05-26 10:20:42
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:21:07
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,10,-50,2018-05-26 10:21:27
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:21:55
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,10,-46,2018-05-26 10:22:15
201,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,10,-72,2018-05-26 10:22:25
201,00:00:00:00:74:F1,88:66:39:62:DA:81,00,04,10,-87,2018-05-26 10:23:31
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:24:47
201,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,2,-64,2018-05-26 10:24:57
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,2,-44,2018-05-26 10:25:15
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:26:19
201,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,1,-75,2018-05-26 10:27:15
201,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,7,-76,2018-05-26 10:28:25
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:28:30
201,00:00:00:00:74:F1,68:14:01:06:70:6C,00,0d,10,-58,2018-05-26 10:28:45
201,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,9,-86,2018-05-26 10:29:36
201,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,6,-85,2018-05-26 10:29:57
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:31:23
201,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,7,-59,2018-05-26 10:31:33
201,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,5,-73,2018-05-26 10:32:14
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,11,-38,2018-05-26 10:33:14
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:33:45
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,10,-50,2018-05-26 10:34:27
201,00:00:00:00:74:F1,88:66:39:62:DA:A1,00,04,7,-86,2018-05-26 10:35:27
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:37:29
201,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,2,-65,2018-05-26 10:37:57
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:38:27
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:38:37
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:39:17
201,00:00:00:00:74:F1,88:66:39:62:C3:01,00,04,4,-77,2018-05-26 10:40:17
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,12,-61,2018-05-26 10:41:07
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,6,-45,2018-05-26 10:42:23
201,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,6,-81,2018-05-26 10:42:58
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:43:03
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,6,-44,2018-05-26 10:43:13
201,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,6,-69,2018-05-26 10:43:28
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:43:58
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:44:13
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:44:38
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:44:43
201,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,11,-64,2018-05-26 10:45:58
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:47:52
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:47:57
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,11,-46,2018-05-26 10:48:12
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:48:27
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:51:15
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-26 10:51:20
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:51:25
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:51:30
201,00:00:00:00:74:F1,88:66:39:62:C5:A1,01,09,11,-62,2018-05-26 10:51:35
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:52:33
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:54:26
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,6,-46,2018-05-26 10:55:28
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-26 10:56:20
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-26 10:56:25
201,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,5,-57,2018-05-26 10:56:40
